Test Case ID,Module Name,Feature Name,Test Scenario,Preconditions,Test Steps,Expected Result,Actual Result,Test Data,Priority,Severity,Test Type,Status,Browser/Device Compatibility,Remarks
TC_AUTH_057,Authentication,Forgot Password,Verify reset with invalid email - Test empty required fields,On Forgot Password,"1. Enter unregistered email
- Submit without required data",Validation errors highlight fields,Pending,invalid@test.com,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_AUTH_058,Authentication,Forgot Password,Verify reset with invalid email - Test on Firefox,On Forgot Password,"1. Enter unregistered email
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,invalid@test.com,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_AUTH_059,Authentication,Forgot Password,Verify reset with invalid email - Test on small viewport (320px),On Forgot Password,"1. Enter unregistered email
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,invalid@test.com,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_AUTH_060,Authentication,Forgot Password,Verify reset with invalid email - Simulate page refresh during action,On Forgot Password,"1. Enter unregistered email
- Hit F5 mid-process",State is recovered or fails safely,Pending,invalid@test.com,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_AUTH_061,Authentication,OTP Verification,Verify correct OTP,OTP Sent,1. Enter 6-digit OTP,Verification successful,Pending,123456,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_AUTH_062,Authentication,OTP Verification,Verify correct OTP - Test max allowed string length,OTP Sent,"1. Enter 6-digit OTP
- Input string of 255 chars",System handles limit gracefully,Pending,123456,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_AUTH_063,Authentication,OTP Verification,Verify correct OTP - Test empty required fields,OTP Sent,"1. Enter 6-digit OTP
- Submit without required data",Validation errors highlight fields,Pending,123456,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_AUTH_064,Authentication,OTP Verification,Verify correct OTP - Test on Firefox,OTP Sent,"1. Enter 6-digit OTP
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,123456,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_AUTH_065,Authentication,OTP Verification,Verify correct OTP - Test on small viewport (320px),OTP Sent,"1. Enter 6-digit OTP
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,123456,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_AUTH_066,Authentication,OTP Verification,Verify correct OTP - Simulate page refresh during action,OTP Sent,"1. Enter 6-digit OTP
- Hit F5 mid-process",State is recovered or fails safely,Pending,123456,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_AUTH_067,Authentication,OTP Verification,Verify incorrect OTP,OTP Sent,1. Enter wrong OTP,Error message shown,Pending,000000,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_AUTH_068,Authentication,OTP Verification,Verify incorrect OTP - Test max allowed string length,OTP Sent,"1. Enter wrong OTP
- Input string of 255 chars",System handles limit gracefully,Pending,000000,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_AUTH_069,Authentication,OTP Verification,Verify incorrect OTP - Test empty required fields,OTP Sent,"1. Enter wrong OTP
- Submit without required data",Validation errors highlight fields,Pending,000000,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_AUTH_070,Authentication,OTP Verification,Verify incorrect OTP - Test on Firefox,OTP Sent,"1. Enter wrong OTP
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,000000,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_AUTH_071,Authentication,OTP Verification,Verify incorrect OTP - Test on small viewport (320px),OTP Sent,"1. Enter wrong OTP
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,000000,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_AUTH_072,Authentication,OTP Verification,Verify incorrect OTP - Simulate page refresh during action,OTP Sent,"1. Enter wrong OTP
- Hit F5 mid-process",State is recovered or fails safely,Pending,000000,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_AUTH_073,Authentication,OTP Verification,Verify expired OTP,OTP Sent 15 mins ago,1. Enter expired OTP,Expired error shown,Pending,Old OTP,Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_AUTH_074,Authentication,OTP Verification,Verify expired OTP - Test max allowed string length,OTP Sent 15 mins ago,"1. Enter expired OTP
- Input string of 255 chars",System handles limit gracefully,Pending,Old OTP,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_AUTH_075,Authentication,OTP Verification,Verify expired OTP - Test empty required fields,OTP Sent 15 mins ago,"1. Enter expired OTP
- Submit without required data",Validation errors highlight fields,Pending,Old OTP,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_AUTH_076,Authentication,OTP Verification,Verify expired OTP - Test on Firefox,OTP Sent 15 mins ago,"1. Enter expired OTP
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Old OTP,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_AUTH_077,Authentication,OTP Verification,Verify expired OTP - Test on small viewport (320px),OTP Sent 15 mins ago,"1. Enter expired OTP
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Old OTP,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_AUTH_078,Authentication,OTP Verification,Verify expired OTP - Simulate page refresh during action,OTP Sent 15 mins ago,"1. Enter expired OTP
- Hit F5 mid-process",State is recovered or fails safely,Pending,Old OTP,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_AUTH_079,Authentication,Social Login,Verify Google Login,On Login page,"1. Click Google Login
2. Auth",Logged in via Google,Pending,Google account,High,Major,API,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_AUTH_080,Authentication,Social Login,Verify Google Login - Test max allowed string length,On Login page,"1. Click Google Login
2. Auth
- Input string of 255 chars",System handles limit gracefully,Pending,Google account,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_AUTH_081,Authentication,Social Login,Verify Google Login - Test empty required fields,On Login page,"1. Click Google Login
2. Auth
- Submit without required data",Validation errors highlight fields,Pending,Google account,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_AUTH_082,Authentication,Social Login,Verify Google Login - Test on Firefox,On Login page,"1. Click Google Login
2. Auth
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Google account,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_AUTH_083,Authentication,Social Login,Verify Google Login - Test on small viewport (320px),On Login page,"1. Click Google Login
2. Auth
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Google account,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_AUTH_084,Authentication,Social Login,Verify Google Login - Simulate page refresh during action,On Login page,"1. Click Google Login
2. Auth
- Hit F5 mid-process",State is recovered or fails safely,Pending,Google account,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_AUTH_085,Authentication,Social Login,Verify Facebook Login,On Login page,"1. Click Facebook Login
2. Auth",Logged in via FB,Pending,FB account,High,Major,API,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_AUTH_086,Authentication,Social Login,Verify Facebook Login - Test max allowed string length,On Login page,"1. Click Facebook Login
2. Auth
- Input string of 255 chars",System handles limit gracefully,Pending,FB account,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_AUTH_087,Authentication,Social Login,Verify Facebook Login - Test empty required fields,On Login page,"1. Click Facebook Login
2. Auth
- Submit without required data",Validation errors highlight fields,Pending,FB account,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_AUTH_088,Authentication,Social Login,Verify Facebook Login - Test on Firefox,On Login page,"1. Click Facebook Login
2. Auth
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,FB account,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_AUTH_089,Authentication,Social Login,Verify Facebook Login - Test on small viewport (320px),On Login page,"1. Click Facebook Login
2. Auth
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,FB account,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_AUTH_090,Authentication,Social Login,Verify Facebook Login - Simulate page refresh during action,On Login page,"1. Click Facebook Login
2. Auth
- Hit F5 mid-process",State is recovered or fails safely,Pending,FB account,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_HOME_091,Homepage,Navigation,Verify all main nav links,On Homepage,1. Click each nav link,Redirects to correct pages,Pending,N/A,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_HOME_092,Homepage,Navigation,Verify all main nav links - Test max allowed string length,On Homepage,"1. Click each nav link
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_HOME_093,Homepage,Navigation,Verify all main nav links - Test empty required fields,On Homepage,"1. Click each nav link
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_HOME_094,Homepage,Navigation,Verify all main nav links - Test on Firefox,On Homepage,"1. Click each nav link
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_HOME_095,Homepage,Navigation,Verify all main nav links - Test on small viewport (320px),On Homepage,"1. Click each nav link
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_HOME_096,Homepage,Navigation,Verify all main nav links - Simulate page refresh during action,On Homepage,"1. Click each nav link
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_HOME_097,Homepage,Hero Banner,Verify hero carousel auto-play,On Homepage,1. Observe hero banner,Auto-scrolls every 5s,Pending,N/A,Low,Minor,UI,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_HOME_098,Homepage,Hero Banner,Verify hero carousel auto-play - Test max allowed string length,On Homepage,"1. Observe hero banner
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_HOME_099,Homepage,Hero Banner,Verify hero carousel auto-play - Test empty required fields,On Homepage,"1. Observe hero banner
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_HOME_100,Homepage,Hero Banner,Verify hero carousel auto-play - Test on Firefox,On Homepage,"1. Observe hero banner
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_HOME_101,Homepage,Hero Banner,Verify hero carousel auto-play - Test on small viewport (320px),On Homepage,"1. Observe hero banner
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_HOME_102,Homepage,Hero Banner,Verify hero carousel auto-play - Simulate page refresh during action,On Homepage,"1. Observe hero banner
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_HOME_103,Homepage,Hero Banner,Verify CTA button clicks,On Homepage,1. Click CTA on banner,Redirects to promo page,Pending,N/A,Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_HOME_104,Homepage,Hero Banner,Verify CTA button clicks - Test max allowed string length,On Homepage,"1. Click CTA on banner
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_HOME_105,Homepage,Hero Banner,Verify CTA button clicks - Test empty required fields,On Homepage,"1. Click CTA on banner
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_HOME_106,Homepage,Hero Banner,Verify CTA button clicks - Test on Firefox,On Homepage,"1. Click CTA on banner
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_HOME_107,Homepage,Hero Banner,Verify CTA button clicks - Test on small viewport (320px),On Homepage,"1. Click CTA on banner
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_HOME_108,Homepage,Hero Banner,Verify CTA button clicks - Simulate page refresh during action,On Homepage,"1. Click CTA on banner
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_HOME_109,Homepage,Featured Products,Verify product cards UI,On Homepage,1. Scroll to featured,Cards render correctly,Pending,N/A,Medium,Minor,UI,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_HOME_110,Homepage,Featured Products,Verify product cards UI - Test max allowed string length,On Homepage,"1. Scroll to featured
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_HOME_111,Homepage,Featured Products,Verify product cards UI - Test empty required fields,On Homepage,"1. Scroll to featured
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_HOME_112,Homepage,Featured Products,Verify product cards UI - Test on Firefox,On Homepage,"1. Scroll to featured
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
